date,max_temp,total_energy
2018-05-16,35.5,157.06
2018-05-17,35.3,169.41
2018-05-18,28.5,161.64
2018-05-19,37.2,181.85
2018-05-20,35.5,194.8
2018-05-21,35.4,194.42
2018-05-22,31.6,200.61
2018-05-23,32.4,205.42
2018-05-24,31.2,200.31
2018-05-25,33.8,205.75
2018-05-26,32.2,201.7
2018-05-27,33.8,208.3
2018-05-28,33.8,191.92
2018-05-29,34,206.88
2018-05-30,34.1,216.25
2018-05-31,33.6,212.18
2018-06-01,33.6,212.18
2018-06-02,31.1,197.57
2018-06-03,33.2,208.58
2018-06-04,34.6,198.44
2018-06-05,34.5,219.25
2018-06-06,33,231.54
2018-06-07,31.6,220.77
2018-06-08,32.8,220.07
2018-06-09,34,228.47
2018-06-10,36.3,232.22
2018-06-11,36.7,210.42
2018-06-12,34.6,223.6
2018-06-13,34.7,230.7
2018-06-14,27.7,224.94
