timestamp,max_demand_gen,highest_gen,min_gen,day_peak_gen,eve_peak_gen,eve_peak_load_shedding,max_temp,total_gas,total_energy
6/1/2015,7782,7782,5838,6338,7782,0,36,1003.48,157.65
6/2/2015,6869,6869,5167,6482,6869,0,36,1004.19,148.74
6/3/2015,7549,7558,4975,5658,7549,0,35.7,1037.43,146.43
6/4/2015,7676,7752,6017,6552,7676,0,36.2,1049.77,163.47
6/5/2015,7312,7444,5841,6195,7312,0,36.5,1029.04,165.22
6/6/2015,7372,7435,6060,6613,7372,0,34.8,1029.04,161.25
6/7/2015,7496,7496,6092,6861,7496,0,35.6,1015.44,170.66
6/8/2015,7573,7704,6197,6656,7573,0,36,1005.77,164.1
6/9/2015,7653,7653,5957,6840,7653,0,35,1028.93,165.19
6/10/2015,7385,7385,5843,6036,7385,0,31.2,959.16,155.58
6/11/2015,7385,7385,5843,6036,7385,0,31.2,959.16,155.58
6/12/2015,7385,7385,5843,6036,7385,0,31.2,959.16,155.58
6/13/2015,6966,6966,4476,4476,6966,0,31.6,921.74,137.7
6/14/2015,6869,6869,4722,5504,6869,0,32.5,960.05,139.72
6/15/2015,7200,7208,5142,6019,7200,0,31.6,985.15,147.2
6/16/2015,7300,7085,4988,6018,7085,194,31.6,959.24,146.31
6/17/2015,7297,7297,5431,6051,7297,0,32.6,996.82,149.24
6/18/2015,7500,7348,5586,6184,7279,200,33.6,998.1,151.16
6/19/2015,7650,7407,5627,5685,7407,219,35,989.84,153.51
6/20/2015,7700,7407,5992,6265,7407,264,34.2,1020.69,157.4
6/21/2015,7600,7472,5964,6272,7397,183,33,1041.85,158.51
6/22/2015,7365,7365,5420,5845,7365,0,29.3,1039.36,148.64
6/23/2015,7513,7513,4918,5822,7513,0,30.7,1084.24,148.85
6/24/2015,7632,7632,4973,5828,7632,0,30.5,1042.08,144.64
6/25/2015,7343,7343,4717,5521,7343,0,29.2,993.35,143.84
6/26/2015,7212,7212,4420,4858,7212,0,29.5,936.07,132.66
6/27/2015,7121,7121,4552,4970,7121,0,28.3,991.1,132.92
6/28/2015,7475,7475,4504,5496,7475,0,30,1026.43,136.87
6/29/2015,7719,7719,4857,6074,7719,0,33.4,1077.48,148.41
6/30/2015,7802,7802,5184,6116,7802,0,36,1137.97,154.18
7/1/2015,7923,7923,5675,6458,7923,0,34,1152.32,160.67
7/2/2015,7858,7858,5784,6461,7858,0,32.5,1113.08,156.84
7/3/2015,7810,7810,5345,5616,7810,0,34,1126.3,150.41
7/4/2015,7744,7744,5723,6537,7744,0,35.2,1150.37,161.11
7/5/2015,8032,8032,5645,6521,8032,0,33,1147.86,163.7
7/6/2015,8122,8122,5942,6697,8122,0,34,1148.52,167.42
7/7/2015,8122,8122,5942,6697,8122,0,34,1148.52,167.42
7/8/2015,7711,7711,5561,6525,7711,0,32.8,1112.23,156.71
7/9/2015,7348,7348,4668,5531,7348,0,28.5,1092.85,157.84
7/10/2015,7352,7400,4749,5190,7352,0,31,1061.81,138.68
7/11/2015,7590,7632,5237,6206,7590,0,33.6,1106.94,155.2
7/12/2015,7972,7972,5995,6624,7972,0,33.4,1106.37,165.41
7/13/2015,7971,8027,6296,6956,7971,0,35,1138.2,162.49
7/14/2015,7925,7925,6457,6986,7925,0,35.5,1109.38,169.89
7/15/2015,7304,7461,5308,5553,7304,0,29.6,1098.37,149.95
7/16/2015,7189,7189,5099,5324,7189,0,30.6,1072.68,143.43
7/17/2015,6762,6762,4159,4494,6762,0,30,997.44,128.11
7/18/2015,6274,6274,4214,4453,6274,0,28.3,954.52,121.54
7/19/2015,5997,5997,3544,3804,5997,0,27.2,907,107.62
7/20/2015,6293,6293,3725,4060,6293,0,28.5,926.4,113.3
7/21/2015,6547,6547,3769,4594,6547,0,30.7,974.95,118.96
7/22/2015,6525,6525,4303,4720,6525,0,31,993.41,124.45
7/23/2015,6782,6782,4378,5220,6782,0,32.7,991.89,130.13
7/24/2015,6508,6508,4342,4676,6512,0,30,934.08,124.45
7/25/2015,7031,7031,4118,5164,7030,0,30.1,995.74,128.47
7/26/2015,6238,6238,4318,5098,6225,0,31.6,969.8,124.24
7/27/2015,6737,6737,4155,5076,6737,0,27.9,1020.93,124.86
7/28/2015,6966,6966,4448,5619,6966,0,33.2,1079.84,135.79
7/29/2015,6966,6966,4448,5619,6966,0,33.2,1079.84,135.79
7/30/2015,7028,7028,5102,5545,7028,0,33.7,1042.35,141.72
7/31/2015,5978,6056,3649,4079,5978,0,26.5,896.46,112.95
8/1/2015,6066,6066,3888,4512,6066,0,29.5,959.09,114.09
8/2/2015,7414,7414,4296,5485,7414,0,30.3,1083.9,130.5
8/3/2015,7429,7429,5095,6250,7429,0,32.4,1130.75,142.66
8/4/2015,7429,7429,5095,6250,7429,0,32.4,1130.75,142.66
8/5/2015,7845,7845,5650,6467,7845,0,34.4,1139.45,159.11
8/6/2015,8029,8029,5841,6666,8029,0,34.1,1118.43,160.96
8/7/2015,7569,7569,5536,5750,7569,0,33.4,1095.97,152.47
8/8/2015,7943,7943,5673,5992,7943,0,34.2,1121.72,158.84
8/9/2015,8089,8089,5884,6277,8089,0,34.5,1089.02,163.61
8/10/2015,8017,8017,6063,6728,8017,0,34.4,1053.28,164.51
8/11/2015,8126,8126,6038,6781,8126,0,34.7,1084.73,166.58
8/12/2015,8015,8015,6053,6661,8015,0,33.2,1067.08,164.97
8/13/2015,8177,8177,6261,6600,8177,0,33.3,1046.58,174.54
8/14/2015,7773,7773,5568,5908,7773,0,31.2,1023.8,152.53
8/15/2015,7796,7796,5438,6068,7796,0,33,1099.96,153.14
8/16/2015,8031,8031,5552,6423,8031,0,32.5,1092.43,158.34
8/17/2015,7877,7877,5534,6262,7877,0,32.7,1099.55,153.64
8/18/2015,7698,7698,5535,5968,7698,0,32,1070.67,160.52
8/19/2015,7840,7840,5431,6237,7840,0,32.5,1084.99,153.12
8/20/2015,7436,7436,5257,6220,7436,0,32.5,1015.2,153.53
8/21/2015,7215,7215,4458,5072,7215,0,29.6,948.48,130.3
8/22/2015,7973,7973,5077,5902,7973,0,33.3,1058.09,149.01
8/23/2015,8118,8118,5583,6369,8118,0,31.6,1096.07,156.83
8/24/2015,7926,7926,5585,6622,7926,0,33,1044.99,160.5
8/25/2015,8008,8008,5784,6573,8008,0,33.2,1106.56,163.66
8/26/2015,7941,7941,5933,6569,7941,0,33.1,1061.55,164.11
8/27/2015,7879,7879,5795,6462,7879,0,33,1002.52,164.1
8/28/2015,7551,7551,5301,5475,7551,0,32.5,1010.17,149.48
8/29/2015,7909,7909,5329,6055,7909,0,32.1,1059.1,153.92
8/30/2015,7916,7916,5624,6496,7916,0,31.8,1060.96,158.55
8/31/2015,7574,7574,5316,5981,7574,0,29.8,1000.61,149.64
9/1/2015,7574,7574,5316,5981,7574,0,29.8,1000.61,149.64
9/2/2015,7743,7743,5039,6034,7743,0,28.5,1087.82,147.82
9/3/2015,7860,7860,5194,6161,7860,0,30.8,1075.65,152.26
9/4/2015,7350,7350,4847,5254,7350,0,31,1017.74,139.75
9/5/2015,7724,7724,5188,6202,7724,0,33.4,1076.41,150.14
9/6/2015,7748,7761,5515,6556,7748,0,33.7,1090.52,154.24
9/7/2015,7879,7879,5820,6669,7879,0,34.1,1084.31,160.61
9/8/2015,7787,7787,5843,6747,7787,0,34.1,1069.11,161.59
9/9/2015,7742,7862,5977,6878,7742,0,34.6,1072.74,168.14
9/10/2015,7910,7910,6222,6228,7910,0,35.4,1084.36,166.04
9/11/2015,7646,7646,5664,5976,7646,0,33.7,1041.97,156.09
9/12/2015,7659,7659,5798,6411,7659,0,34.9,1050.04,158.41
9/13/2015,7659,7659,5798,6411,7659,0,34.9,1050.04,158.41
9/14/2015,7894,7894,5983,6755,7894,0,33.6,1052.98,164.66
9/15/2015,7529,7686,5998,6572,7529,0,33.2,1028.36,162.56
9/16/2015,7861,7861,6060,6964,7861,0,33.8,1032.32,165.87
9/17/2015,7850,7883,6393,6868,7681,152,34.5,1036.2,167.12
9/18/2015,7850,7803,6234,6324,7256,535,36.5,1009.5,164.69
9/19/2015,7850,7704,5795,6373,7704,131,28.9,1002.65,159.34
9/20/2015,7494,7494,4998,5743,7494,0,27.3,973.59,146.79
